"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Senyora: #PiliPinasDebates2016 | Kabahan ka na mamaya sa debate Binay, si Duterte pa talaga prinovoke no ha <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>#PHVoteDuterte https://t.…",FALSE,0,NA,2016-03-29 07:10:09,FALSE,NA,"714711227080044545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ConpPinon",1566,TRUE,FALSE,NA,NA
"2","RT @Senyora: Di ko kinaya yung BTS 

Roxas: ""toilet break""

Duterte: ""pangatlong ihi mo na yan Mar""

#PiliPinasDebates2016",FALSE,0,NA,2016-03-29 07:00:55,FALSE,NA,"714708903334903808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gavrilovizmail",3579,TRUE,FALSE,NA,NA
"3","RT @Senyora: Ikaw na talaga @iamkarendavila!!! Galingan mo sa #PiliPinasDebates2016! <ed><U+00A0><U+00BD><ed><U+00B2><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+008A> https://t.co/GrfcsMQnLu",FALSE,0,NA,2016-03-29 06:55:08,FALSE,NA,"714707445914927104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saranghaeyo13",852,TRUE,FALSE,NA,NA
"4","RT @PushMoNaYanTeh: PARA KANINO KA BOBOTO SA #PiliPinasDebates2016 NGAYON? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",FALSE,0,NA,2016-03-29 06:46:40,FALSE,NA,"714705317272154113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamxharahjehn06",50,TRUE,FALSE,NA,NA
"5","Every debate, Mar is in a league of his own. He is way ahead of the others. #recalling #PiliPinasDebates2016 #disentengpamumuno",FALSE,0,NA,2016-03-29 06:35:04,FALSE,NA,"714702397537447936",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SirGaryFernando",0,FALSE,FALSE,NA,NA
"6","RT @iammariafil: Huwag ng mangamba dahil ang #SolusyonNiMar ang makakatulong para sa atin!  #PilipinasDebates2016  #RoxasRobredo https://t.…",FALSE,0,NA,2016-03-29 06:24:59,FALSE,NA,"714699859018792960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anabiosisEE",5,TRUE,FALSE,NA,NA
"7","RT @Hugotstagram: Binay: Kahirapan
Miriam: Economy
Duterte: Criminality
Poe: Agriculture
Roxas: tsinelas ni Korina

#PiliPinasDebates2016",FALSE,0,NA,2016-03-29 06:23:13,FALSE,NA,"714699415374663680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BarrionIvane",215,TRUE,FALSE,NA,NA
"8","RT @Senyora: Yan ang transparent! #PHVoteDuterte. Pumirma yung iba kung wala kayong tinatago! #PiliPinasDebates2016 https://t.co/vmIWasawBI",FALSE,0,NA,2016-03-29 06:20:34,FALSE,NA,"714698745699545088",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Author_Liz0423",1641,TRUE,FALSE,NA,NA
"9","yohoooo Karen Davila and Tony Velasquez to moderate #PiliPinasDebates2016",FALSE,1,NA,2016-03-29 06:15:06,FALSE,NA,"714697371331006464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","markinyinyero",0,FALSE,FALSE,NA,NA
"10","RT @Senyora: Ikaw na talaga @iamkarendavila!!! Galingan mo sa #PiliPinasDebates2016! <ed><U+00A0><U+00BD><ed><U+00B2><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+008A> https://t.co/GrfcsMQnLu",FALSE,0,NA,2016-03-29 06:09:39,FALSE,NA,"714696001488044034",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","airaxr",852,TRUE,FALSE,NA,NA
